120	B.cenocepacia_MC0-3_urea
121	B.cenocepacia_MC0-3_FmdB
122	B.cenocepacia_MC0-3_acriflavin
123	B.cenocepacia_MC0-3_aldo/keto
124	B.cenocepacia_MC0-3_transglycosylase-associated
125	B.cenocepacia_MC0-3_D-alanyl-D-alanine
126	B.cenocepacia_MC0-3_oxalate
127	B.cenocepacia_MC0-3_Mn2+/Fe2+
128	B.cenocepacia_MC0-3_EmrB/QacA
129	B.cenocepacia_MC0-3_MarR
130	B.cenocepacia_MC0-3_magnesium-translocating
131	B.cenocepacia_MC0-3_penicillin-binding
132	B.cenocepacia_MC0-3_glucose-methanol-choline
133	B.cenocepacia_MC0-3_multiple
134	B.cenocepacia_MC0-3_nitrite
135	B.cenocepacia_MC0-3_PilT
136	B.cenocepacia_MC0-3_cold-shock
137	B.cenocepacia_MC0-3_translation
138	B.cenocepacia_MC0-3_YheO
139	B.cenocepacia_MC0-3_isocitrate
140	B.cenocepacia_MC0-3_peptidoglycan-associated
141	B.cenocepacia_MC0-3_amino
142	B.cenocepacia_MC0-3_beta
143	B.cenocepacia_MC0-3_beta-lactamase
144	B.cenocepacia_MC0-3_acyl-CoA
145	B.cenocepacia_MC0-3_nitrile
146	B.cenocepacia_MC0-3_2-oxo-hepta-3-ene-1,7-dioic
147	B.cenocepacia_MC0-3_peptidoglycan
148	B.cenocepacia_MC0-3_sodium/hydrogen
149	B.cenocepacia_MC0-3_alanine
150	B.cenocepacia_MC0-3_phosphotransferase
151	B.cenocepacia_MC0-3_TraR/DksA
152	B.cenocepacia_MC0-3_undecaprenyl-phosphate
153	B.cenocepacia_MC0-3_CRP/FNR
154	B.cenocepacia_MC0-3_acyl
155	B.cenocepacia_MC0-3_Beta-mannosidase
156	B.cenocepacia_MC0-3_sigma-54
157	B.cenocepacia_MC0-3_acyltransferase-like
158	B.cenocepacia_MC0-3_mannose-1-phosphate
159	B.cenocepacia_MC0-3_group
160	B.cenocepacia_MC0-3_polysaccharide
161	B.cenocepacia_MC0-3_HxlR
162	B.cenocepacia_MC0-3_gamma-glutamyltransferase
163	B.cenocepacia_MC0-3_helix-turn-helix
164	B.cenocepacia_MC0-3_protocatechuate
165	B.cenocepacia_MC0-3_CDP-alcohol
166	B.cenocepacia_MC0-3_N-glycosyltransferase
167	B.cenocepacia_MC0-3_peroxiredoxin
